1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	E	68
1	J	68
3	R	68
3	W	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	931
4	R	931
4	W	931
0	R	931
4	J	993
4	R	994
4	W	994
0	R	994
4	J	1171
4	R	1172
4	W	1172
0	R	1172
4	J	1198
4	R	1198
4	W	1198
0	R	1198
4	J	1378
4	R	1378
4	W	1378
0	R	1378
4	J	1410
4	R	1410
4	W	1410
0	R	1410
4	J	1590
4	R	1590
4	W	1590
0	R	1590
4	J	1629
4	R	1629
4	W	1629
0	R	1629
4	J	1959
4	R	1959
6	N	1960
6	J	1961
4	W	1961
6	R	1961
