1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
4	J	398
4	R	398
4	W	399
0	R	399
4	J	449
4	R	449
4	W	449
0	R	449
4	J	587
4	R	587
4	W	587
0	R	587
4	J	624
4	R	624
4	W	624
0	R	624
4	J	646
4	R	646
4	W	646
0	R	646
4	J	683
4	R	683
4	W	683
0	R	683
4	J	714
4	R	714
4	W	715
0	R	715
4	J	751
4	R	751
4	W	751
0	R	751
4	J	789
4	R	789
4	W	789
0	R	789
4	J	792
4	R	792
4	W	792
0	R	792
4	J	827
4	R	827
4	W	827
0	R	827
4	J	830
4	R	830
4	W	830
0	R	830
4	J	835
4	R	835
4	W	835
0	R	835
4	J	838
4	R	838
4	W	838
0	R	838
4	J	841
4	R	841
4	W	841
0	R	841
4	J	856
4	R	856
4	W	856
0	R	856
4	J	860
4	R	860
4	W	860
0	R	860
4	J	870
4	R	870
4	W	870
0	R	870
4	J	875
4	R	875
4	W	875
0	R	875
4	J	877
4	R	877
4	W	877
0	R	877
4	J	886
4	R	886
4	W	886
0	R	886
4	J	911
4	R	911
4	W	911
0	R	911
4	J	915
4	R	915
4	W	915
0	R	915
4	J	920
4	R	920
4	W	920
0	R	920
4	J	924
4	R	924
4	W	924
0	R	924
4	J	928
4	R	928
4	W	928
0	R	928
4	J	959
4	R	959
4	W	959
0	R	959
4	J	963
4	R	964
4	W	964
0	R	964
4	J	966
4	R	966
4	W	966
0	R	966
4	J	971
4	R	971
4	W	971
0	R	971
4	J	986
4	R	986
4	W	986
0	R	986
4	J	989
4	R	990
4	W	990
0	R	990
4	J	1125
4	R	1125
4	W	1125
0	R	1125
4	J	1326
4	R	1326
4	W	1326
0	R	1326
4	J	1341
4	R	1341
4	W	1341
0	R	1341
4	J	1350
4	R	1350
4	W	1350
0	R	1350
4	J	1362
4	R	1362
4	W	1362
0	R	1362
4	J	1378
4	R	1378
4	W	1378
0	R	1378
4	J	1385
4	R	1385
4	W	1385
0	R	1385
4	J	1399
4	R	1399
4	W	1399
0	R	1399
4	J	1413
4	R	1413
4	W	1413
0	R	1413
4	J	1425
4	R	1425
4	W	1425
0	R	1425
4	J	1440
4	R	1440
4	W	1440
0	R	1440
4	J	1452
4	R	1452
4	W	1452
0	R	1452
4	J	1461
4	R	1461
4	W	1461
0	R	1461
4	J	1475
4	R	1475
4	W	1475
0	R	1475
4	J	1488
4	R	1489
4	W	1489
0	R	1489
4	J	1504
4	R	1504
4	W	1504
0	R	1504
4	J	1519
4	R	1519
4	W	1519
0	R	1519
4	J	1531
4	R	1531
4	W	1531
0	R	1531
4	J	1543
4	R	1543
4	W	1543
0	R	1543
4	J	1556
4	R	1557
4	W	1557
0	R	1557
4	J	1567
4	R	1567
4	W	1567
0	R	1567
4	J	1580
4	R	1581
4	W	1581
0	R	1581
4	J	1594
4	R	1594
4	W	1594
0	R	1594
4	J	1608
4	R	1608
4	W	1608
0	R	1608
4	J	1619
4	R	1619
4	W	1619
0	R	1619
4	J	1720
4	R	1720
4	W	1720
0	R	1720
4	J	1769
4	R	1769
4	W	1769
0	R	1769
4	J	1810
4	R	1810
4	W	1810
0	R	1810
4	J	1847
4	R	1847
4	W	1847
0	R	1847
4	J	2052
4	R	2052
4	W	2052
0	R	2052
4	J	2087
4	R	2088
4	W	2088
0	R	2088
4	J	2142
4	R	2142
4	W	2142
0	R	2142
4	J	2188
4	R	2188
4	W	2188
0	R	2188
4	J	2467
4	R	2467
6	N	2469
6	J	2470
4	W	2470
6	R	2470
